PERMNO,date,TICKER,PRC,RET,SHROUT,vwretd,sprtrn,SECTOR
84788,2022-09-30,AMZN,113.0,-0.108622,10198000.0,-0.091323,-0.093396,Consumer Staples
84788,2022-10-31,AMZN,102.44,-0.093451,10201654.0,0.077394,0.079863,Consumer Staples
84788,2022-11-30,AMZN,96.54,-0.057595,10201654.0,0.052354,0.053753,Consumer Staples
84788,2022-12-30,AMZN,84.0,-0.129894,10242000.0,-0.057119,-0.058971,Consumer Staples
84788,2023-01-31,AMZN,103.13,0.227738,10247260.0,0.071823,0.061753,Consumer Staples
84788,2023-02-28,AMZN,94.23,-0.086299,10253774.0,-0.024666,-0.026112,Consumer Staples
84788,2023-03-31,AMZN,103.29,0.096148,10258000.0,0.02395,0.035052,Consumer Staples
84788,2023-04-28,AMZN,105.45,0.020912,10260354.0,0.008976,0.014642,Consumer Staples
84788,2023-05-31,AMZN,120.58,0.143480,10260354.0,0.000708,0.002482,Consumer Staples
84788,2023-06-30,AMZN,130.36,0.081108,10313000.0,0.066183,0.064728,Consumer Staples
84788,2023-07-31,AMZN,133.67999,0.025468,10317751.0,0.035618,0.031139,Consumer Staples
84788,2023-08-31,AMZN,138.00999,0.032391,10317751.0,-0.020608,-0.017716,Consumer Staples
84788,2023-09-29,AMZN,127.12,-0.078907,10330000.0,-0.04739,-0.048719,Consumer Staples
84788,2023-10-31,AMZN,133.09,0.046963,10334031.0,-0.028865,-0.02198,Consumer Staples
84788,2023-11-30,AMZN,146.09,0.097678,10334031.0,0.092053,0.089179,Consumer Staples
84788,2023-12-29,AMZN,151.94,0.040044,10242000.0,0.053604,0.044229,Consumer Staples
84788,2024-01-31,AMZN,155.2,0.021456,10387381.0,0.007561,0.015896,Consumer Staples
84788,2024-02-29,AMZN,176.75999,0.138918,10397186.0,0.050583,0.051721,Consumer Staples
84788,2024-03-28,AMZN,180.38,0.020480,10403000.0,0.03245,0.031019,Consumer Staples
84788,2024-04-30,AMZN,175.0,-0.029826,10406627.0,-0.042724,-0.041615,Consumer Staples
84788,2024-05-31,AMZN,176.44,0.008229,10406627.0,0.046553,0.048021,Consumer Staples
84788,2024-06-28,AMZN,193.25,0.095273,10490000.0,0.026073,0.03467,Consumer Staples
84788,2024-07-31,AMZN,186.98,-0.032445,10495567.0,0.019878,0.011321,Consumer Staples
