PERMNO,date,TICKER,PRC,VOL,RET,sprtrn
10145,2020-07-31,HON,149.37,696834.0,0.033059,0.055101
10145,2020-08-31,HON,165.55,747822.0,0.114347,0.070065
10145,2020-09-30,HON,164.61,620778.0,-0.005678,-0.039228
10145,2020-10-30,HON,164.95,541080.0,0.002065,-0.027666
10145,2020-11-30,HON,203.92,773624.0,0.241891,0.107546
10145,2020-12-31,HON,212.7,573390.0,0.043056,0.037121
10145,2021-01-29,HON,195.37,584511.0,-0.081476,-0.011137
10145,2021-02-26,HON,202.35001,450044.0,0.040487,0.026091
10145,2021-03-31,HON,217.07001,711666.0,0.072745,0.042439
10145,2021-04-30,HON,223.03999,545999.0,0.027503,0.052425
10145,2021-05-28,HON,230.91,530769.0,0.039455,0.005487
10145,2021-06-30,HON,219.35001,573951.0,-0.050063,0.022214
10145,2021-07-30,HON,233.78999,831807.0,0.065831,0.022748
10145,2021-08-31,HON,231.91,407061.0,-0.004063,0.02899
10145,2021-09-30,HON,212.28,528979.0,-0.084645,-0.047569
10145,2021-10-29,HON,218.62,417028.0,0.029866,0.069144
10145,2021-11-30,HON,202.24001,500213.0,-0.070442,-0.008334
10145,2021-12-31,HON,208.50999,736865.0,0.031003,0.043613
10145,2022-01-31,HON,204.48,686397.0,-0.019328,-0.052585
10145,2022-02-28,HON,189.75,773899.0,-0.067244,-0.031361
10145,2022-03-31,HON,194.58,844342.0,0.025455,0.035773
10145,2022-04-29,HON,193.50999,592186.0,-0.005499,-0.087957
10145,2022-05-31,HON,193.62,783268.0,0.005633,5.3e-05
10145,2022-06-30,HON,173.81,623424.0,-0.102314,-0.08392
10145,2022-07-29,HON,192.46001,479151.0,0.107301,0.091116
10145,2022-08-31,HON,189.35001,493401.0,-0.011067,-0.04244
10145,2022-09-30,HON,166.97,672534.0,-0.118194,-0.093396
10145,2022-10-31,HON,204.02,661417.0,0.221896,0.079863
10145,2022-11-30,HON,219.55,659865.0,0.081169,0.053753
10145,2022-12-30,HON,214.3,563337.0,-0.023913,-0.058971
10145,2023-01-31,HON,208.48,601419.0,-0.027158,0.061753
10145,2023-02-28,HON,191.48,640096.0,-0.076602,-0.026112
10145,2023-03-31,HON,191.12,725218.0,-0.00188,0.035052
10145,2023-04-28,HON,199.84,488448.0,0.045626,0.014642
10145,2023-05-31,HON,191.60001,496432.0,-0.036079,0.002482
10145,2023-06-30,HON,207.5,496663.0,0.082985,0.064728
10145,2023-07-31,HON,194.13,604884.0,-0.064434,0.031139
10145,2023-08-31,HON,187.94,567524.0,-0.02658,-0.017716
10145,2023-09-29,HON,184.74001,580748.0,-0.017027,-0.048719
10145,2023-10-31,HON,183.25999,612051.0,-0.008011,-0.02198
10145,2023-11-30,HON,195.92,524512.0,0.074975,0.089179
10145,2023-12-29,HON,209.71001,592296.0,0.070386,0.044229
10145,2024-01-31,HON,202.25999,645959.0,-0.035525,0.015896
10145,2024-02-29,HON,198.73,642344.0,-0.012113,0.051721
10145,2024-03-28,HON,205.25,579271.0,0.032808,0.031019
10145,2024-04-30,HON,192.73,614635.0,-0.060999,-0.041615
10145,2024-05-31,HON,202.19,558935.0,0.054688,0.048021
10145,2024-06-28,HON,213.53999,575929.0,0.056135,0.03467
10145,2024-07-31,HON,204.75,587978.0,-0.041163,0.011321
10145,2024-08-30,HON,207.91,600709.0,0.020708,0.022835
10145,2024-09-30,HON,206.71001,440065.0,-0.005772,0.020197
10145,2024-10-31,HON,205.67999,926659.0,-0.004983,-0.009897
10145,2024-11-29,HON,232.92999,973680.0,0.137981,0.057301
10145,2024-12-31,HON,225.89,804850.0,-0.030224,-0.02499
10516,2019-01-31,ADM,44.9,652919.0,0.095924,0.078684
10516,2019-02-28,ADM,42.5,831402.0,-0.045657,0.029729
10516,2019-03-29,ADM,43.13,709870.0,0.014824,0.017924
10516,2019-04-30,ADM,44.6,720432.0,0.034083,0.039313
10516,2019-05-31,ADM,38.32,897400.0,-0.13296,-0.065778
10516,2019-06-28,ADM,40.8,692967.0,0.064718,0.06893
10516,2019-07-31,ADM,41.08,722475.0,0.006863,0.013128
10516,2019-08-30,ADM,38.05,984841.0,-0.065239,-0.018092
10516,2019-09-30,ADM,41.07,561511.0,0.079369,0.017181
10516,2019-10-31,ADM,42.04,612017.0,0.023618,0.020432
10516,2019-11-29,ADM,42.93,556820.0,0.029496,0.034047
10516,2019-12-31,ADM,46.35,591760.0,0.079665,0.02859
10516,2020-01-31,ADM,44.76,664988.0,-0.034304,-0.001628
10516,2020-02-28,ADM,37.65,587563.0,-0.150804,-0.08411
10516,2020-03-31,ADM,35.18,1034256.0,-0.065604,-0.125119
10516,2020-04-30,ADM,37.14,665705.0,0.055713,0.126844
10516,2020-05-29,ADM,39.31,582419.0,0.068121,0.045282
10516,2020-06-30,ADM,39.9,668998.0,0.015009,0.018388
10516,2020-07-31,ADM,42.83,524146.0,0.073434,0.055101
10516,2020-08-31,ADM,44.76,433917.0,0.053467,0.070065
10516,2020-09-30,ADM,46.49,766518.0,0.038651,-0.039228
10516,2020-10-30,ADM,46.24,666630.0,-0.005378,-0.027666
10516,2020-11-30,ADM,49.77,526747.0,0.084126,0.107546
10516,2020-12-31,ADM,50.41,476894.0,0.012859,0.037121
