PERMNO,date,TICKER,COMNAM,CUSIP,PRC,VOL,RET,SHROUT,vwretd
10107,2021-02-26,MSFT,MICROSOFT CORP,59491810,232.38,4900140.0,0.004225,7542216.0,0.029196
10107,2021-03-31,MSFT,MICROSOFT CORP,59491810,235.77,7249215.0,0.014588,7534000.0,0.030573
10107,2021-04-30,MSFT,MICROSOFT CORP,59491810,252.17999,5681359.0,0.069602,7531575.0,0.04819
10107,2021-05-28,MSFT,MICROSOFT CORP,59491810,249.67999,4947689.0,-0.007693,7531575.0,0.007092
10107,2021-06-30,MSFT,MICROSOFT CORP,59491810,270.89999,5080224.0,0.084989,7519000.0,0.023422
10107,2021-07-30,MSFT,MICROSOFT CORP,59491810,284.91,5220794.0,0.051717,7514891.0,0.011828
10107,2021-08-31,MSFT,MICROSOFT CORP,59491810,301.88,4415471.0,0.061528,7514891.0,0.027146
10107,2021-09-30,MSFT,MICROSOFT CORP,59491810,281.92001,5023354.0,-0.066119,7507897.0,-0.042243
10107,2021-10-29,MSFT,MICROSOFT CORP,59491810,331.62,5157513.0,0.176291,7507980.0,0.064651
10107,2021-11-30,MSFT,MICROSOFT CORP,59491810,330.59,5091543.0,-0.001236,7507980.0,-0.01835
10107,2021-12-31,MSFT,MICROSOFT CORP,59491810,336.32001,6250773.0,0.017333,7507980.0,0.033341
10107,2022-01-31,MSFT,MICROSOFT CORP,59491810,310.98001,9460285.0,-0.075345,7496866.0,-0.059822
10107,2022-02-28,MSFT,MICROSOFT CORP,59491810,298.79001,6905975.0,-0.037205,7496866.0,-0.021838
10107,2022-03-31,MSFT,MICROSOFT CORP,59491810,308.31,7351466.0,0.031862,7483000.0,0.030506
10107,2022-04-29,MSFT,MICROSOFT CORP,59491810,277.51999,6263718.0,-0.099867,7479033.0,-0.089387
10107,2022-05-31,MSFT,MICROSOFT CORP,59491810,271.87,7420645.0,-0.018125,7479033.0,-0.002113
10107,2022-06-30,MSFT,MICROSOFT CORP,59491810,256.82999,6210638.0,-0.055321,7464000.0,-0.083998
10107,2022-07-29,MSFT,MICROSOFT CORP,59491810,280.73999,5341745.0,0.093097,7457892.0,0.090351
10107,2022-08-31,MSFT,MICROSOFT CORP,59491810,261.47,4766826.0,-0.066432,7457892.0,-0.036233
10107,2022-09-30,MSFT,MICROSOFT CORP,59491810,232.89999,5746488.0,-0.109267,7457000.0,-0.091323
10107,2022-10-31,MSFT,MICROSOFT CORP,59491810,232.13,6703940.0,-0.003306,7454473.0,0.077394
10107,2022-11-30,MSFT,MICROSOFT CORP,59491810,255.14,6145296.0,0.102055,7454473.0,0.052354
10107,2022-12-30,MSFT,MICROSOFT CORP,59491810,239.82001,5991818.0,-0.060045,7447000.0,-0.057119
10107,2023-01-31,MSFT,MICROSOFT CORP,59491810,247.81,6653042.0,0.033317,7443804.0,0.071823
10107,2023-02-28,MSFT,MICROSOFT CORP,59491810,249.42,6148469.0,0.009241,7443804.0,-0.024666
10107,2023-03-31,MSFT,MICROSOFT CORP,59491810,288.29999,7469274.0,0.155882,7437000.0,0.02395
10107,2023-04-28,MSFT,MICROSOFT CORP,59491810,307.26001,5506599.0,0.065765,7435488.0,0.008976
10107,2023-05-31,MSFT,MICROSOFT CORP,59491810,328.39001,5992060.0,0.070982,7435488.0,0.000708
10107,2023-06-30,MSFT,MICROSOFT CORP,59491810,340.54001,5470225.0,0.036999,7432000.0,0.066183
10107,2023-07-31,MSFT,MICROSOFT CORP,59491810,335.92001,6658592.0,-0.013567,7429764.0,0.035618
10107,2023-08-31,MSFT,MICROSOFT CORP,59491810,327.76001,4792283.0,-0.022267,7429764.0,-0.020608
10107,2023-09-29,MSFT,MICROSOFT CORP,59491810,315.75,4163480.0,-0.036643,7429031.0,-0.04739
10107,2023-10-31,MSFT,MICROSOFT CORP,59491810,338.10999,5399432.0,0.070815,7432262.0,-0.028865
10107,2023-11-30,MSFT,MICROSOFT CORP,59491810,378.91,5602438.0,0.122889,7432262.0,0.092053
10107,2023-12-29,MSFT,MICROSOFT CORP,59491810,376.04001,5185553.0,-0.007574,7432262.0,0.053604
10107,2024-01-31,MSFT,MICROSOFT CORP,59491810,397.57999,5256086.0,0.057281,7430436.0,0.007561
10107,2024-02-29,MSFT,MICROSOFT CORP,59491810,413.64001,4421269.0,0.042281,7430436.0,0.050583
10107,2024-03-28,MSFT,MICROSOFT CORP,59491810,420.72,4236784.0,0.017116,7432306.0,0.03245
10107,2024-04-30,MSFT,MICROSOFT CORP,59491810,389.32999,4360892.0,-0.07461,7432306.0,-0.042724
10107,2024-05-31,MSFT,MICROSOFT CORP,59491810,415.13,4095924.0,0.068194,7432306.0,0.046553
10107,2024-06-28,MSFT,MICROSOFT CORP,59491810,446.95001,3398071.0,0.076651,7434000.0,0.026073
10107,2024-07-31,MSFT,MICROSOFT CORP,59491810,418.35001,4361683.0,-0.063989,7433038.0,0.019878
10107,2024-08-30,MSFT,MICROSOFT CORP,59491810,417.14001,4489646.0,-0.0011,7433038.0,0.021572
10107,2024-09-30,MSFT,MICROSOFT CORP,59491810,430.29999,3750494.0,0.031548,7434436.0,0.020969
